ID,Espécie,Local de Observação,Qtd Indivíduos,Temperatura Média (°C),Umidade Média (%),Alvo de Conservação
M003,Macaco-prego,APA Marajó,9,29.2,84,Sim
M004,Zogue-zogue,Parque Anavilhanas,8,28.8,81,Sim
M005,Macaco-aranha,Serra do Divisor,3,30.3,85,Sim
M006,Macaco-prego,APA Marajó,4,29.4,82,Sim
M007,Zogue-zogue,APA Marajó,5,27.0,91,Sim
M008,Macaco-prego,APA Marajó,10,27.9,95,Sim
M009,Uacari,Parque Anavilhanas,10,27.7,76,Sim
M012,Cuxiú,Floresta Tapajós,8,29.2,91,Sim
M015,Macaco-prego,APA Marajó,10,29.3,79,Sim
M016,Zogue-zogue,Reserva Mamirauá,3,27.9,90,Sim
M018,Zogue-zogue,APA Marajó,9,31.1,83,Sim
M025,Cuxiú,Floresta Tapajós,6,30.4,78,Sim
M026,Macaco-aranha,APA Marajó,8,29.7,92,Sim
M028,Uacari,Floresta Tapajós,8,27.9,93,Sim
M034,Uacari,Serra do Divisor,12,27.5,84,Sim
M038,Uacari,Floresta Tapajós,3,27.5,86,Sim
M041,Macaco-prego,Floresta Tapajós,4,29.8,79,Sim
M043,Cuxiú,APA Marajó,6,29.5,85,Sim
M047,Cuxiú,Serra do Divisor,3,28.7,95,Sim
M048,Uacari,Parque Anavilhanas,9,30.8,91,Sim
M049,Macaco-aranha,Serra do Divisor,6,29.6,95,Sim
